iter	Passed	Remaining
832	5328	1068
833	5334	1061
834	5340	1055
835	5346	1048
836	5351	1042
837	5358	1035
838	5363	1029
839	5369	1022
840	5375	1016
841	5381	1009
842	5387	1003
843	5393	996
844	5399	990
845	5405	983
846	5411	977
847	5417	970
848	5423	964
849	5429	958
850	5435	951
851	5441	945
852	5447	938
853	5453	932
854	5459	925
855	5465	919
856	5471	912
857	5477	906
858	5483	900
859	5489	893
860	5495	887
861	5501	880
862	5507	874
863	5514	867
864	5520	861
865	5525	855
866	5532	848
867	5538	842
868	5544	835
869	5550	829
870	5555	822
871	5562	816
872	5570	810
873	5577	804
874	5584	797
875	5590	791
876	5596	784
877	5602	778
878	5608	772
879	5614	765
880	5621	759
881	5628	753
882	5635	746
883	5641	740
884	5647	733
885	5653	727
886	5659	720
887	5665	714
888	5671	708
889	5679	701
890	5686	695
891	5691	689
892	5698	682
893	5704	676
894	5710	669
895	5716	663
896	5722	657
897	5728	650
898	5734	644
899	5740	637
900	5747	631
901	5753	625
902	5759	618
903	5765	612
904	5771	605
905	5777	599
906	5783	592
907	5789	586
908	5795	580
909	5801	573
910	5807	567
911	5813	560
912	5819	554
913	5825	548
914	5831	541
915	5837	535
916	5843	528
917	5848	522
918	5854	516
919	5860	509
920	5867	503
921	5873	496
922	5879	490
923	5886	484
924	5892	477
925	5898	471
926	5904	464
927	5910	458
928	5916	452
929	5922	445
930	5928	439
931	5934	432
932	5940	426
933	5946	420
934	5952	413
935	5958	407
936	5964	401
937	5970	394
938	5976	388
939	5982	381
940	5989	375
941	5995	369
942	6001	362
943	6007	356
944	6013	349
945	6019	343
946	6025	337
947	6031	330
948	6037	324
949	6043	318
950	6049	311
951	6055	305
952	6061	298
953	6068	292
954	6076	286
955	6082	279
956	6088	273
957	6094	267
958	6100	260
959	6106	254
960	6112	248
961	6118	241
962	6124	235
963	6130	228
964	6136	222
965	6143	216
966	6149	209
967	6154	203
968	6161	197
969	6167	190
970	6173	184
971	6179	178
972	6185	171
973	6191	165
974	6198	158
975	6204	152
976	6210	146
977	6216	139
978	6222	133
979	6229	127
980	6235	120
981	6241	114
982	6247	108
983	6253	101
984	6259	95
985	6265	88
986	6274	82
987	6280	76
988	6286	69
989	6291	63
990	6298	57
991	6304	50
992	6310	44
993	6316	38
994	6322	31
995	6328	25
996	6334	19
997	6340	12
998	6346	6
999	6352	0
